Date,Dollars
2002-03,459448000000
2002-06,460120000000
2002-09,468032000000
2002-12,475684000000
2003-03,480640000000
2003-06,487600000000
2003-09,491476000000
2003-12,491512000000
2004-03,498084000000
2004-06,500056000000
2004-09,502304000000
2004-12,508852000000
2005-03,513552000000
2005-06,521980000000
2005-09,528672000000
2005-12,532228000000
2006-03,553988000000
2006-06,544812000000
2006-09,553876000000
2006-12,560992000000
2007-03,570804000000
2007-06,579800000000
2007-09,585076000000
2007-12,592612000000
2008-03,612860000000
2008-06,613756000000
2008-09,617528000000
2008-12,626500000000
2009-03,636576000000
2009-06,646648000000
2009-09,653928000000
2009-12,664324000000
2010-03,667124000000
2010-06,677260000000
2010-09,682680000000
2010-12,696052000000
2011-03,695800000000
2011-06,703128000000
2011-09,705512000000
2011-12,709180000000
2012-03,710568000000
2012-06,717184000000
