"","REF_DATE","VALUE","year","month"
"1","2007-01",62008,"2007","01"
"2","2007-02",62486,"2007","02"
"3","2007-03",61901,"2007","03"
"4","2007-04",62345,"2007","04"
"5","2007-05",61936,"2007","05"
"6","2007-06",62624,"2007","06"
"7","2007-07",63231,"2007","07"
"8","2007-08",62605,"2007","08"
"9","2007-09",62539,"2007","09"
"10","2007-10",62577,"2007","10"
"11","2007-11",62824,"2007","11"
"12","2007-12",62564,"2007","12"
"13","2008-01",63494,"2008","01"
"14","2008-02",63325,"2008","02"
"15","2008-03",63467,"2008","03"
"16","2008-04",63453,"2008","04"
"17","2008-05",63871,"2008","05"
"18","2008-06",63811,"2008","06"
"19","2008-07",63488,"2008","07"
"20","2008-08",63817,"2008","08"
"21","2008-09",64516,"2008","09"
"22","2008-10",63749,"2008","10"
"23","2008-11",63286,"2008","11"
"24","2008-12",63127,"2008","12"
"25","2009-01",63064,"2009","01"
"26","2009-02",63126,"2009","02"
"27","2009-03",62559,"2009","03"
"28","2009-04",62145,"2009","04"
"29","2009-05",61995,"2009","05"
"30","2009-06",61632,"2009","06"
"31","2009-07",61798,"2009","07"
"32","2009-08",62143,"2009","08"
"33","2009-09",61764,"2009","09"
"34","2009-10",62548,"2009","10"
"35","2009-11",62828,"2009","11"
"36","2009-12",62850,"2009","12"
"37","2010-01",63339,"2010","01"
"38","2010-02",63532,"2010","02"
"39","2010-03",63803,"2010","03"
"40","2010-04",63681,"2010","04"
"41","2010-05",63801,"2010","05"
"42","2010-06",64370,"2010","06"
"43","2010-07",65166,"2010","07"
"44","2010-08",65109,"2010","08"
"45","2010-09",65184,"2010","09"
"46","2010-10",65778,"2010","10"
"47","2010-11",66229,"2010","11"
"48","2010-12",66876,"2010","12"
"49","2011-01",66717,"2011","01"
"50","2011-02",66568,"2011","02"
"51","2011-03",66941,"2011","03"
"52","2011-04",66806,"2011","04"
"53","2011-05",67083,"2011","05"
"54","2011-06",67282,"2011","06"
"55","2011-07",67882,"2011","07"
"56","2011-08",67398,"2011","08"
"57","2011-09",67117,"2011","09"
"58","2011-10",67541,"2011","10"
"59","2011-11",67286,"2011","11"
"60","2011-12",67563,"2011","12"
"61","2012-01",67034,"2012","01"
"62","2012-02",67334,"2012","02"
"63","2012-03",67277,"2012","03"
"64","2012-04",67722,"2012","04"
"65","2012-05",67744,"2012","05"
"66","2012-06",67610,"2012","06"
"67","2012-07",67715,"2012","07"
"68","2012-08",67526,"2012","08"
"69","2012-09",67344,"2012","09"
"70","2012-10",66880,"2012","10"
"71","2012-11",67361,"2012","11"
"72","2012-12",66653,"2012","12"
"73","2013-01",67001,"2013","01"
"74","2013-02",66551,"2013","02"
"75","2013-03",66152,"2013","03"
"76","2013-04",66061,"2013","04"
"77","2013-05",66049,"2013","05"
"78","2013-06",65731,"2013","06"
"79","2013-07",66026,"2013","07"
"80","2013-08",66624,"2013","08"
"81","2013-09",67084,"2013","09"
"82","2013-10",67684,"2013","10"
"83","2013-11",68460,"2013","11"
"84","2013-12",68201,"2013","12"
"85","2014-01",68543,"2014","01"
"86","2014-02",68732,"2014","02"
"87","2014-03",68934,"2014","03"
"88","2014-04",69192,"2014","04"
"89","2014-05",68996,"2014","05"
"90","2014-06",69684,"2014","06"
"91","2014-07",70168,"2014","07"
"92","2014-08",70865,"2014","08"
"93","2014-09",71021,"2014","09"
"94","2014-10",71061,"2014","10"
"95","2014-11",70902,"2014","11"
"96","2014-12",71278,"2014","12"
"97","2015-01",70914,"2015","01"
"98","2015-02",71098,"2015","02"
"99","2015-03",71109,"2015","03"
"100","2015-04",71277,"2015","04"
"101","2015-05",71099,"2015","05"
"102","2015-06",71387,"2015","06"
"103","2015-07",71384,"2015","07"
"104","2015-08",71109,"2015","08"
"105","2015-09",71465,"2015","09"
"106","2015-10",71330,"2015","10"
"107","2015-11",71544,"2015","11"
"108","2015-12",71704,"2015","12"
"109","2016-01",71855,"2016","01"
"110","2016-02",72471,"2016","02"
"111","2016-03",72567,"2016","03"
"112","2016-04",72549,"2016","04"
"113","2016-05",73185,"2016","05"
"114","2016-06",73013,"2016","06"
"115","2016-07",73280,"2016","07"
"116","2016-08",73804,"2016","08"
"117","2016-09",73827,"2016","09"
"118","2016-10",74225,"2016","10"
"119","2016-11",74466,"2016","11"
"120","2016-12",74754,"2016","12"
"121","2017-01",74883,"2017","01"
"122","2017-02",75006,"2017","02"
"123","2017-03",75381,"2017","03"
"124","2017-04",75882,"2017","04"
"125","2017-05",75823,"2017","05"
"126","2017-06",76955,"2017","06"
"127","2017-07",76907,"2017","07"
"128","2017-08",76861,"2017","08"
"129","2017-09",77110,"2017","09"
"130","2017-10",77442,"2017","10"
"131","2017-11",78330,"2017","11"
"132","2017-12",78517,"2017","12"
"133","2018-01",78948,"2018","01"
"134","2018-02",79272,"2018","02"
"135","2018-03",79656,"2018","03"
"136","2018-04",79559,"2018","04"
"137","2018-05",80033,"2018","05"
"138","2018-06",79991,"2018","06"
"139","2018-07",80084,"2018","07"
