"","REF_DATE","VALUE","year","month"
"1","2007-01",56911,"2007","01"
"2","2007-02",57240,"2007","02"
"3","2007-03",56760,"2007","03"
"4","2007-04",56922,"2007","04"
"5","2007-05",56741,"2007","05"
"6","2007-06",57198,"2007","06"
"7","2007-07",57667,"2007","07"
"8","2007-08",57239,"2007","08"
"9","2007-09",57372,"2007","09"
"10","2007-10",57531,"2007","10"
"11","2007-11",57706,"2007","11"
"12","2007-12",57701,"2007","12"
"13","2008-01",58473,"2008","01"
"14","2008-02",58184,"2008","02"
"15","2008-03",58341,"2008","03"
"16","2008-04",58372,"2008","04"
"17","2008-05",58558,"2008","05"
"18","2008-06",58554,"2008","06"
"19","2008-07",58498,"2008","07"
"20","2008-08",58758,"2008","08"
"21","2008-09",59271,"2008","09"
"22","2008-10",58753,"2008","10"
"23","2008-11",58323,"2008","11"
"24","2008-12",57975,"2008","12"
"25","2009-01",58247,"2009","01"
"26","2009-02",58217,"2009","02"
"27","2009-03",57980,"2009","03"
"28","2009-04",57683,"2009","04"
"29","2009-05",57602,"2009","05"
"30","2009-06",57387,"2009","06"
"31","2009-07",57393,"2009","07"
"32","2009-08",57547,"2009","08"
"33","2009-09",57239,"2009","09"
"34","2009-10",57998,"2009","10"
"35","2009-11",58075,"2009","11"
"36","2009-12",58328,"2009","12"
"37","2010-01",58375,"2010","01"
"38","2010-02",58643,"2010","02"
"39","2010-03",59067,"2010","03"
"40","2010-04",59044,"2010","04"
"41","2010-05",59341,"2010","05"
"42","2010-06",59585,"2010","06"
"43","2010-07",59942,"2010","07"
"44","2010-08",60219,"2010","08"
"45","2010-09",60399,"2010","09"
"46","2010-10",60619,"2010","10"
"47","2010-11",61042,"2010","11"
"48","2010-12",61660,"2010","12"
"49","2011-01",61860,"2011","01"
"50","2011-02",61786,"2011","02"
"51","2011-03",62043,"2011","03"
"52","2011-04",61963,"2011","04"
"53","2011-05",62083,"2011","05"
"54","2011-06",62420,"2011","06"
"55","2011-07",62923,"2011","07"
"56","2011-08",62731,"2011","08"
"57","2011-09",62485,"2011","09"
"58","2011-10",62905,"2011","10"
"59","2011-11",62986,"2011","11"
"60","2011-12",63503,"2011","12"
"61","2012-01",62990,"2012","01"
"62","2012-02",63163,"2012","02"
"63","2012-03",63046,"2012","03"
"64","2012-04",63298,"2012","04"
"65","2012-05",63342,"2012","05"
"66","2012-06",63561,"2012","06"
"67","2012-07",63676,"2012","07"
"68","2012-08",63494,"2012","08"
"69","2012-09",63452,"2012","09"
"70","2012-10",62974,"2012","10"
"71","2012-11",63478,"2012","11"
"72","2012-12",62826,"2012","12"
"73","2013-01",63127,"2013","01"
"74","2013-02",62558,"2013","02"
"75","2013-03",62514,"2013","03"
"76","2013-04",63016,"2013","04"
"77","2013-05",63141,"2013","05"
"78","2013-06",62986,"2013","06"
"79","2013-07",63071,"2013","07"
"80","2013-08",62938,"2013","08"
"81","2013-09",63382,"2013","09"
"82","2013-10",63990,"2013","10"
"83","2013-11",64887,"2013","11"
"84","2013-12",64674,"2013","12"
"85","2014-01",64991,"2014","01"
"86","2014-02",65318,"2014","02"
"87","2014-03",65517,"2014","03"
"88","2014-04",65796,"2014","04"
"89","2014-05",65941,"2014","05"
"90","2014-06",66322,"2014","06"
"91","2014-07",66598,"2014","07"
"92","2014-08",67524,"2014","08"
"93","2014-09",67670,"2014","09"
"94","2014-10",67723,"2014","10"
"95","2014-11",67466,"2014","11"
"96","2014-12",67818,"2014","12"
"97","2015-01",67492,"2015","01"
"98","2015-02",67565,"2015","02"
"99","2015-03",67505,"2015","03"
"100","2015-04",67611,"2015","04"
"101","2015-05",67606,"2015","05"
"102","2015-06",67866,"2015","06"
"103","2015-07",68000,"2015","07"
"104","2015-08",67594,"2015","08"
"105","2015-09",68054,"2015","09"
"106","2015-10",68008,"2015","10"
"107","2015-11",68219,"2015","11"
"108","2015-12",68296,"2015","12"
"109","2016-01",68405,"2016","01"
"110","2016-02",68937,"2016","02"
"111","2016-03",69141,"2016","03"
"112","2016-04",69225,"2016","04"
"113","2016-05",69699,"2016","05"
"114","2016-06",69456,"2016","06"
"115","2016-07",69736,"2016","07"
"116","2016-08",70246,"2016","08"
"117","2016-09",70184,"2016","09"
"118","2016-10",70645,"2016","10"
"119","2016-11",70742,"2016","11"
"120","2016-12",71076,"2016","12"
"121","2017-01",71361,"2017","01"
"122","2017-02",71528,"2017","02"
"123","2017-03",71946,"2017","03"
"124","2017-04",72304,"2017","04"
"125","2017-05",72303,"2017","05"
"126","2017-06",73250,"2017","06"
"127","2017-07",73267,"2017","07"
"128","2017-08",73221,"2017","08"
"129","2017-09",73375,"2017","09"
"130","2017-10",73900,"2017","10"
"131","2017-11",74612,"2017","11"
"132","2017-12",74681,"2017","12"
"133","2018-01",75032,"2018","01"
"134","2018-02",75613,"2018","02"
"135","2018-03",75929,"2018","03"
"136","2018-04",75748,"2018","04"
"137","2018-05",76172,"2018","05"
"138","2018-06",76224,"2018","06"
"139","2018-07",76334,"2018","07"
